prioridad,mercado,ciudad,pais,empresa,sitio_web,rubro,empleados,facturacion_anual_usd,precision_del_dato,senal_de_calificacion,gancho_de_venta
A,USA,Coronado San Diego,Estados Unidos,Indevia Accounting,indevia.com,Contable para franquicias,51-200,25M-75M,exacto,Mayor facturacion de la lista; mas de 1100 clientes atendidos,Onboarding automatizado de franquiciados y bot de soporte contable
B,USA,Costa Mesa California,Estados Unidos,The Mogharebi Group,mogharebi.com,Brokerage inmobiliario multifamily,11-200,1M-10M,rango filtrado,Brokerage de inversion con enfoque consultivo,Portal de oportunidades y calificacion de inversores
A,USA,Golden Beach Miami,Estados Unidos,Luxury Life Homes,calendly.com/johnbooking,Real estate de lujo,11-200,1M-10M,rango filtrado,SIN SITIO WEB: el enlace publico es un Calendly,Marca digital completa + captacion de compradores y agentes
A,USA,Fort Worth Dallas,Estados Unidos,Pryce Marshall Land & Home (BHHS Premier),lnk.bio/prycemarshalltx,Real estate ranch y residencial,11-200,1M-10M,rango filtrado,SIN SITIO WEB: solo link-in-bio pese a operar ranchos de alto valor,Sitio con buscador de tierras y captacion de compradores fuera del estado
A,EUROPA,Madrid,Espana,DIZA Consultores Inmobiliarios,dizaconsultores.com,Inmobiliaria de zonas premium,11-200,1M-10M,rango filtrado,Especialistas en inmuebles de lujo en zonas premium de Madrid,Portal de lujo multiidioma + bot que filtra compradores internacionales
A,EUROPA,Barcelona,Espana,BUCKINGHAM Property Advisors,buckinghampropertyadvisors.com,Inmobiliaria internacional de lujo,11-200,1M-10M,rango filtrado,Inmobiliaria de lujo con listing manager dedicado por cliente,Captacion de propietarios exigentes con embudo IA y reporting automatico
B,EUROPA,Madrid,Espana,DSD Digital Smile Design,digitalsmiledesign.com,Odontologia premium,11-200,1M-10M,rango filtrado,Marca global de odontologia estetica con red de clinicas,Captacion de clinicas partner y de pacientes de alto ticket
B,EUROPA,Sardon de Duero Valladolid,Espana,Abadia Retuerta,abadia-retuerta.com,Hotel 5 estrellas y bodega,11-200,1M-10M,rango filtrado,Hotel 5* en monasterio del siglo XII con 30 habitaciones y 700 ha,Reserva directa multiidioma y venta de experiencias enoturisticas
B,EUROPA,Madrid,Espana,Livensa Living Studios,livensalivingstudios.com,Alojamiento de estancia media,11-200,1M-10M,rango filtrado,Opera en Madrid San Sebastian Malaga Bilbao y Valencia,Sitio por ciudad + bot de disponibilidad y contratos de estancia
C,EUROPA,Sevilla,Espana,Vertice Hoteles,verticehoteles.com,Cadena hotelera,11-200,1M-10M,rango filtrado,Cadena andaluza con hoteles y apartamentos turisticos desde 1999,Motor de reserva directa y upselling automatizado
B,EUROPA,Bordeaux,Francia,Groupe Philippe Etchebest,philippe-etchebest.com,Gastronomia de chef,11-200,1M-10M,rango filtrado,Grupo de restaurantes de chef mediatico; ticket alto y demanda constante,Reservas por Instagram con bot y sitio de grupo por local
B,EUROPA,Ashford,Reino Unido,Eight Continents Hotels and Resorts,eightcontinentshotels.com,Gestion hotelera,11-200,1M-10M,rango filtrado,Gestora hotelera con servicio integrado 360,Sitio corporativo y captacion de propietarios de hoteles
A,EAU,Dubai,Emiratos Arabes Unidos,Bizrahmed,bizrahmed.com,Cirugia plastica facial y capilar,1-200,1M-75M,rango filtrado,Mas de 39000 rinoplastias; turismo medico internacional,Captacion multiidioma y precalificacion de pacientes extranjeros por WhatsApp
A,EAU,Dubai,Emiratos Arabes Unidos,Perfect Doctors Clinic,perfectdrs.com,Clinica estetica y cirugia plastica,11-200,1M-10M,rango filtrado,Clinica estetica premium con cartera amplia de procedimientos,Bot de cotizacion por procedimiento y agenda de consulta
A,EAU,Jumeirah Dubai,Emiratos Arabes Unidos,Maris Clinic,marisclinic.com,Clinica estetica y cirugia plastica,11-200,1M-10M,rango filtrado,Ubicada en Jumeirah; concepto brasileno con procedimientos de alto ticket,Captacion en portugues ingles y arabe con agente IA
B,EAU,Dubai,Emiratos Arabes Unidos,Estelaza Clinic,estelaza.com,Clinica estetica no invasiva,11-200,1M-10M,rango filtrado,Procedimientos esteticos sin cirugia con equipo medico propio,Agenda automatica y recordatorios de sesiones de tratamiento
A,EAU,Dubai,Emiratos Arabes Unidos,Zooma Properties LLC,zooma.ae,Inmobiliaria,11-200,1M-10M,rango filtrado,Agencia tech-driven desde 2013 con ventas leasing y off-plan,Portal off-plan con captacion y calificacion de inversores extranjeros
A,EAU,J1 Beach Dubai,Emiratos Arabes Unidos,Baoli Dubai,baoli-restaurant.com,Restaurante y club de ticket alto,1-200,1M-75M,rango filtrado,Restaurante y nightlife en J1 Beach: ticket por mesa muy alto,Reserva de mesas y bottle service por WhatsApp con bot
B,EAU,Dubai,Emiratos Arabes Unidos,Charles & Darwish Associates (CDA),cdaaudit.com,Contable y auditoria,1-200,1M-75M,rango filtrado,Firma de contabilidad y consultoria registrada en Dubai,Intake de clientes corporativos y bot de consultas de VAT
A,TAILANDIA,Koh Samui,Tailandia,Conrad Properties,conradproperties.asia,Inmobiliaria de lujo,11-200,1M-10M,rango filtrado,Villas y penthouses de lujo en Koh Samui Koh Phangan y Phuket,Portal multiidioma con captacion de inversores internacionales por WhatsApp
A,TAILANDIA,Koh Phangan,Tailandia,Azura Resort & Residence,azura-thailand.com,Resort y residencias,11-200,1M-10M,rango filtrado,Resort y residencias en Koh Phangan orientado a compradores extranjeros,Sitio de reserva y venta de unidades con bot de precalificacion
B,TAILANDIA,Bangkok,Tailandia,Resolute Hotels and Resorts,resolutehotels.com,Gestion hotelera boutique,11-200,1M-10M,rango filtrado,Gestora boutique que opera propiedades para terceros,Sitio por propiedad y captacion de propietarios de hoteles
B,TAILANDIA,Bangkok,Tailandia,Kudun and Partners,kap.co.th,Estudio juridico,1-200,1M-75M,rango filtrado,Firma premiada Thailand Law Firm of the Year,Intake corporativo automatizado y contenido legal multipagina
